tambon_th,tambon_en,province_th,province_en,latitude,longitude,st_no,men,women
ปูโยะ,Puyo,นราธิวาส,Narathiwat,6.109,101.993,7,4,3
ทรัพย์ทวี,SapThawi,สุราษฎร์ธานี,Surat Thani,8.914,99.226,4,2,2
บางประมุง,BangPramung,นครสวรรค์,Nakhon Sawan,15.662,99.997,7,6,1
พยุง,DongPhayung,กาฬสินธุ์,Kalasin,16.531,103.708,5,3,2
ตรึม,Truem,สุรินทร์,Surin,15.035,103.845,0,0,0
ตระการ,Trakan,อุบลราชธานี,Ubon Ratchathani,15.466,105.05,1,0,1
บ้านเขว้า,BanKhwao,ชัยภูมิ,Chaiyaphum,15.753,101.911,1,0,1
บ้านเขว้า,BanKhwao,ชัยภูมิ,Chaiyaphum,15.753,101.911,7,6,1
บ้านโสก,BanSok,ชัยภูมิ,Chaiyaphum,15.892,102.263,6,2,4
ชัยบุรี,ChaiBuri,พัทลุง,Phatthalung,7.697,100.093,3,3,0
ควนโดน,KhuanDon,สตูล,Satun,6.814,100.06,3,3,0
ควนโดน,KhuanDon,สตูล,Satun,6.814,100.06,4,2,2
ไฮหย่อง,HaiYong,สกลนคร,Sakon Nakhon,17.406,103.765,20,15,5
วังปลาป้อม,WangPlaPom,หนองบัวลำภู,Nong Bua Lam Phu,17.426,102.024,8,6,2
โป่งแยง,PongYaeng,เชียงใหม่,Chiang Mai,18.885,98.82,2220,1149,1071
ท่ามะเฟือง,ThaMafueang,อุตรดิตถ์,Uttaradit,17.238,100.021,2,2,0
บ้านใหม่,BanMai,กาญจนบุรี,Kanchanaburi,13.868,99.604,32,20,12
หนองนกทา,NongNokTha,อุบลราชธานี,Ubon Ratchathani,16.019,105.096,80,16,64
คำพี้,KhamPhi,นครพนม,Nakhon Phanom,16.937,104.369,4,2,2
ตันหยงมัส,TanyongMat,นราธิวาส,Narathiwat,6.311,101.724,3,1,2
ตันหยงมัส,TanyongMat,นราธิวาส,Narathiwat,6.311,101.724,35,22,13
ชัยจุมพล,ChaiChumphon,อุตรดิตถ์,Uttaradit,17.631,100.037,5,3,2
เชียงยืน,ChiangYuen,มหาสารคาม,Maha Sarakham,16.431,103.093,5,4,1
เชียงยืน,ChiangYuen,มหาสารคาม,Maha Sarakham,16.431,103.093,6,4,2
ไร่ใหม่พัฒนา,RaiMaiPhatthana,เพชรบุรี,Phetchaburi,12.655,99.806,15,9,6
จิกดู่,ChikDu,อำนาจเจริญ,Amnat Charoen,15.583,104.545,4,1,3
บริบูรณ์,Boribun,ขอนแก่น,Khon Kaen,16.855,102.092,6,6,0
หนองหัวช้าง,NongHuaChang,ศรีสะเกษ,Si Sa Ket,15.049,104.643,4,2,2
